guinea, Media, nuevos infectados, 16/01/2014, 0.000
guinea, Media, nuevos muertos, 16/01/2014, 0.000
guinea, Baja, nuevos infectados, 16/01/2014, 0.000
guinea, Baja, nuevos muertos, 16/01/2014, 0.000
Global, Total, nuevos infectados, 16/01/2014, 60
Global, Total, nuevos muertos, 16/01/2014, 84
guinea, Alta, nuevos infectados, 23/01/2014, 0.000
guinea, Alta, nuevos muertos, 23/01/2014, 0.000
guinea, Media, nuevos infectados, 23/01/2014, 0.000
guinea, Media, nuevos muertos, 23/01/2014, 0.000
guinea, Baja, nuevos infectados, 23/01/2014, 0.000
guinea, Baja, nuevos muertos, 23/01/2014, 0.000
Global, Total, nuevos infectados, 23/01/2014, 0
Global, Total, nuevos muertos, 23/01/2014, 34
guinea, Alta, nuevos infectados, 30/01/2014, 0.000
guinea, Alta, nuevos muertos, 30/01/2014, 0.000
guinea, Media, nuevos infectados, 30/01/2014, 0.000
guinea, Media, nuevos muertos, 30/01/2014, 0.000
guinea, Baja, nuevos infectados, 30/01/2014, 0.000
guinea, Baja, nuevos muertos, 30/01/2014, 0.000
Global, Total, nuevos infectados, 30/01/2014, 0
Global, Total, nuevos muertos, 30/01/2014, 34
guinea, Alta, nuevos infectados, 06/02/2014, 0.000
guinea, Alta, nuevos muertos, 06/02/2014, 0.000
guinea, Media, nuevos infectados, 06/02/2014, 0.000
guinea, Media, nuevos muertos, 06/02/2014, 0.000
guinea, Baja, nuevos infectados, 06/02/2014, 0.000
guinea, Baja, nuevos muertos, 06/02/2014, 0.000
Global, Total, nuevos infectados, 06/02/2014, 0
Global, Total, nuevos muertos, 06/02/2014, 34
guinea, Alta, nuevos infectados, 13/02/2014, 0.000
guinea, Alta, nuevos muertos, 13/02/2014, 0.000
guinea, Media, nuevos infectados, 13/02/2014, 0.000
guinea, Media, nuevos muertos, 13/02/2014, 0.000
guinea, Baja, nuevos infectados, 13/02/2014, 0.000
guinea, Baja, nuevos muertos, 13/02/2014, 0.000
Global, Total, nuevos infectados, 13/02/2014, 0
Global, Total, nuevos muertos, 13/02/2014, 34
guinea, Alta, nuevos infectados, 20/02/2014, 0.000
guinea, Alta, nuevos muertos, 20/02/2014, 0.000
guinea, Media, nuevos infectados, 20/02/2014, 0.000
guinea, Media, nuevos muertos, 20/02/2014, 0.000
guinea, Baja, nuevos infectados, 20/02/2014, 0.000
guinea, Baja, nuevos muertos, 20/02/2014, 0.000
Global, Total, nuevos infectados, 20/02/2014, 0
Global, Total, nuevos muertos, 20/02/2014, 34
guinea, Alta, nuevos infectados, 27/02/2014, 0.000
guinea, Alta, nuevos muertos, 27/02/2014, 0.000
guinea, Media, nuevos infectados, 27/02/2014, 0.000
guinea, Media, nuevos muertos, 27/02/2014, 0.000
guinea, Baja, nuevos infectados, 27/02/2014, 0.000
guinea, Baja, nuevos muertos, 27/02/2014, 0.000
Global, Total, nuevos infectados, 27/02/2014, 0
Global, Total, nuevos muertos, 27/02/2014, 34
guinea, Alta, nuevos infectados, 06/03/2014, 0.000
guinea, Alta, nuevos muertos, 06/03/2014, 0.000
guinea, Media, nuevos infectados, 06/03/2014, 0.000
guinea, Media, nuevos muertos, 06/03/2014, 0.000
guinea, Baja, nuevos infectados, 06/03/2014, 0.000
